               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.043331,            0.022737,           0.0036435,             0.83462,             0.62884,             0.73133,             0.29442,            0.054358,            0.059382,           0.0050636,            0.004555,            0.004555,            0.004555
                  57,            0.045505,            0.024509,            0.004012,             0.80965,             0.61871,              0.7249,             0.28798,            0.056777,            0.057925,           0.0050406,            0.004456,            0.004456,            0.004456
                  58,            0.042569,            0.022632,           0.0043277,             0.81761,             0.62092,              0.7246,             0.29243,            0.053765,            0.059224,           0.0049928,            0.004357,            0.004357,            0.004357
                  59,            0.043646,            0.023311,           0.0045263,             0.77796,             0.58795,              0.6874,             0.24141,            0.057062,            0.058295,           0.0049092,            0.004258,            0.004258,            0.004258
                  60,            0.043162,            0.023975,           0.0035227,             0.80592,             0.64273,             0.73475,             0.28594,            0.052658,            0.060152,           0.0049318,            0.004159,            0.004159,            0.004159
                  61,            0.041961,            0.022317,           0.0037047,             0.82674,             0.63086,             0.73049,              0.2973,            0.052359,            0.060018,           0.0049308,             0.00406,             0.00406,             0.00406
                  62,             0.04074,            0.022946,           0.0037354,             0.78602,             0.63737,             0.71416,             0.28701,            0.054196,            0.059874,           0.0050846,            0.003961,            0.003961,            0.003961
                  63,            0.041942,             0.02271,           0.0036767,             0.82448,             0.62761,             0.72134,              0.2867,            0.053044,            0.061204,           0.0051629,            0.003862,            0.003862,            0.003862
                  64,            0.041407,            0.021256,           0.0035587,             0.82088,             0.60535,             0.71446,             0.27509,            0.054402,            0.059757,           0.0051095,            0.003763,            0.003763,            0.003763
                  65,            0.040578,            0.023522,           0.0034625,              0.7916,             0.68561,             0.74832,             0.30097,            0.052922,            0.060404,           0.0049637,            0.003664,            0.003664,            0.003664
                  66,             0.04024,            0.022671,           0.0035904,             0.80542,             0.64575,             0.74719,             0.30372,            0.053171,             0.05996,           0.0048741,            0.003565,            0.003565,            0.003565
                  67,            0.040622,            0.022357,           0.0032655,             0.77908,             0.67331,             0.74362,             0.30162,            0.052422,            0.060005,           0.0049129,            0.003466,            0.003466,            0.003466
                  68,            0.039838,            0.023374,           0.0032075,             0.76381,             0.66376,             0.73241,             0.27902,            0.055644,            0.059919,           0.0049296,            0.003367,            0.003367,            0.003367
                  69,            0.040478,            0.022394,           0.0032291,             0.81397,             0.65311,             0.74606,             0.30177,            0.054085,            0.061399,           0.0048939,            0.003268,            0.003268,            0.003268
                  70,            0.039186,            0.022937,           0.0030952,             0.76608,             0.68872,             0.74964,             0.28991,            0.053978,            0.060692,           0.0047399,            0.003169,            0.003169,            0.003169
                  71,            0.039502,             0.02213,           0.0029436,             0.78261,             0.70006,             0.75534,             0.30306,            0.053968,            0.059886,           0.0045389,             0.00307,             0.00307,             0.00307
                  72,            0.039615,             0.02337,           0.0034697,             0.78676,             0.67967,             0.75254,             0.30288,            0.052677,            0.060275,           0.0045606,            0.002971,            0.002971,            0.002971
                  73,            0.038791,            0.022248,           0.0030005,             0.78869,             0.69644,             0.75825,              0.3092,            0.052521,            0.059478,           0.0047106,            0.002872,            0.002872,            0.002872
                  74,             0.03888,            0.022117,           0.0030624,             0.80968,             0.65465,             0.75279,             0.30378,            0.052732,            0.059677,           0.0046385,            0.002773,            0.002773,            0.002773
                  75,            0.038649,            0.022552,           0.0031461,             0.79401,             0.67376,             0.74156,             0.29834,            0.052763,            0.059897,           0.0046816,            0.002674,            0.002674,            0.002674
                  76,            0.036877,            0.022452,           0.0029144,             0.78089,              0.7007,             0.75365,             0.30851,            0.052493,            0.059995,           0.0045497,            0.002575,            0.002575,            0.002575
                  77,            0.037763,            0.022867,           0.0030946,             0.82474,             0.66239,             0.75182,             0.30749,            0.052904,             0.06088,           0.0044303,            0.002476,            0.002476,            0.002476
                  78,            0.037836,            0.021257,           0.0033679,             0.83183,             0.67549,             0.76535,              0.3133,            0.051651,             0.06144,           0.0044527,            0.002377,            0.002377,            0.002377
                  79,            0.037695,             0.02212,           0.0027292,             0.82996,             0.67356,             0.76355,             0.31273,            0.052278,             0.06038,           0.0044486,            0.002278,            0.002278,            0.002278
                  80,            0.037106,            0.021727,           0.0033409,             0.82762,             0.66771,             0.75727,             0.31133,             0.05237,            0.060611,           0.0043358,            0.002179,            0.002179,            0.002179
                  81,            0.037164,            0.021825,           0.0028757,             0.82236,             0.65768,             0.75382,              0.3115,            0.052417,            0.060604,           0.0043041,             0.00208,             0.00208,             0.00208
                  82,            0.037248,            0.021349,           0.0027883,             0.81796,             0.65206,             0.75515,             0.30857,            0.052481,            0.061481,           0.0043117,            0.001981,            0.001981,            0.001981
                  83,            0.037341,             0.02241,           0.0031676,              0.8026,             0.66693,             0.74225,             0.29933,            0.052458,            0.061069,            0.004402,            0.001882,            0.001882,            0.001882
                  84,            0.036455,            0.021633,           0.0029955,             0.81185,             0.66184,             0.74928,             0.30132,            0.053118,            0.060686,           0.0044364,            0.001783,            0.001783,            0.001783
                  85,            0.035419,            0.022203,           0.0029465,             0.81043,             0.66321,             0.73724,             0.30309,            0.052442,            0.060687,           0.0044686,            0.001684,            0.001684,            0.001684
                  86,            0.036467,            0.021799,           0.0028118,             0.81807,             0.65956,              0.7362,             0.30274,            0.052441,             0.06054,           0.0045599,            0.001585,            0.001585,            0.001585
                  87,            0.035784,            0.021075,           0.0029005,             0.83662,             0.64318,             0.74311,             0.30369,            0.053257,             0.06102,           0.0046369,            0.001486,            0.001486,            0.001486
                  88,            0.035957,            0.021905,           0.0025204,             0.83939,             0.65875,             0.76079,             0.30701,            0.052288,            0.061462,           0.0047019,            0.001387,            0.001387,            0.001387
                  89,            0.036953,             0.02159,            0.002697,             0.84132,             0.65833,             0.75565,             0.30627,            0.052156,            0.061602,           0.0046824,            0.001288,            0.001288,            0.001288
                  90,            0.034324,            0.021223,           0.0024939,             0.80185,             0.67085,             0.74965,             0.30896,            0.052768,            0.061471,           0.0047163,            0.001189,            0.001189,            0.001189
                  91,            0.035623,            0.022234,           0.0027969,              0.8165,             0.67984,             0.75553,              0.3117,            0.052125,            0.061418,           0.0045866,             0.00109,             0.00109,             0.00109
                  92,            0.035592,            0.022146,           0.0024202,             0.81456,             0.68114,             0.75626,             0.31148,            0.052119,            0.061073,           0.0045639,            0.000991,            0.000991,            0.000991
                  93,             0.03549,            0.021118,           0.0025303,             0.81014,             0.68584,             0.75449,             0.31085,             0.05236,            0.060812,           0.0045369,            0.000892,            0.000892,            0.000892
                  94,            0.034711,            0.021796,            0.002593,             0.80586,             0.67608,             0.74421,              0.3093,            0.052049,            0.061109,            0.004445,            0.000793,            0.000793,            0.000793
                  95,            0.034051,            0.020769,           0.0024772,             0.81048,             0.67535,             0.75047,             0.31074,            0.052199,            0.061558,            0.004394,            0.000694,            0.000694,            0.000694
                  96,            0.034972,            0.021462,           0.0023989,             0.81732,             0.66686,             0.75025,             0.31428,            0.052419,            0.061523,           0.0044145,            0.000595,            0.000595,            0.000595
                  97,            0.034249,            0.021383,           0.0022387,             0.82552,             0.68027,             0.75547,             0.31043,            0.052018,            0.061539,           0.0044159,            0.000496,            0.000496,            0.000496
                  98,            0.034816,            0.021652,           0.0023772,               0.832,             0.66714,             0.75305,             0.31317,            0.051889,            0.061353,           0.0043933,            0.000397,            0.000397,            0.000397
                  99,            0.033979,            0.021135,           0.0022583,             0.83078,             0.66574,             0.75042,             0.31291,            0.051667,            0.061436,           0.0043855,            0.000298,            0.000298,            0.000298
